time,open,close
2008/8/14,2432.2,2437.08
2008/8/15,2434.41,2450.61
2008/8/18,2451.78,2319.87
2008/8/19,2297.24,2344.47
2008/8/20,2332.48,2523.28
2008/8/21,2484.49,2431.72
2008/8/22,2414.46,2405.23
2008/8/25,2408.09,2413.37
2008/8/26,2384.95,2350.08
2008/8/27,2343.88,2342.15
2008/8/28,2341.96,2350.14
2008/8/29,2361.05,2397.37
2008/9/1,2380.47,2325.14
2008/9/2,2312.1,2304.89
2008/9/3,2301.94,2276.67
2008/9/4,2270.52,2277.41
2008/9/5,2224.53,2202.45
2008/9/8,2210.34,2143.42
2008/9/9,2152.28,2145.78
2008/9/10,2131.8,2150.76
2008/9/11,2143.4,2078.98
2008/9/12,2077.55,2079.67
2008/9/16,2049.81,1986.64
2008/9/17,1971.94,1929.05
2008/9/18,1876.12,1895.84
2008/9/19,2067.64,2075.09
2008/9/22,2241.72,2236.41
2008/9/23,2209.12,2201.51
2008/9/24,2133.1,2216.81
2008/9/25,2214.58,2297.5
2008/9/26,2304.12,2293.78
2008/10/6,2267.39,2173.74
2008/10/7,2101.09,2157.84
2008/10/8,2095.91,2092.22
2008/10/9,2125.57,2074.58
2008/10/10,1995.96,2000.57
2008/10/13,1978.56,2073.57
2008/10/14,2139.07,2017.32
2008/10/15,1995.88,1994.67
2008/10/16,1916.13,1909.94
2008/10/17,1921.84,1930.65
2008/10/20,1924.18,1974.01
2008/10/21,1978.67,1958.53
2008/10/22,1932.68,1895.82
2008/10/23,1851.26,1875.56
2008/10/24,1875.63,1839.62
2008/10/27,1809.22,1723.35
2008/10/28,1671.4,1771.82
2008/10/29,1786.2,1719.81
2008/10/30,1732.77,1763.61
2008/10/31,1754.21,1728.79
2008/11/3,1713.76,1719.77
2008/11/4,1707.92,1706.7
2008/11/5,1716.22,1760.61
2008/11/6,1720.42,1717.72
2008/11/7,1686.52,1747.71
2008/11/10,1782.31,1874.8
2008/11/11,1872.07,1843.61
2008/11/12,1820.44,1859.11
2008/11/13,1837.27,1927.61
2008/11/14,1943.96,1986.44
2008/11/17,1981.26,2030.48
2008/11/18,2020.99,1902.43
2008/11/19,1889.35,2017.47
2008/11/20,1977.21,1983.76
2008/11/21,1932.6,1969.39
2008/11/24,1961.21,1897.06
2008/11/25,1925.25,1888.71
2008/11/26,1890.33,1897.88
2008/11/27,2012.69,1917.86
2008/11/28,1901.67,1871.16
2008/12/1,1865.74,1894.62
2008/12/2,1856.97,1889.64
2008/12/3,1903.43,1965.41
2008/12/4,1992.72,2001.5
2008/12/5,1984.26,2018.66
2008/12/8,2049.16,2090.77
2008/12/9,2100.77,2037.74
2008/12/10,2025.03,2079.12
2008/12/11,2072.58,2031.68
2008/12/12,2014.58,1954.21
2008/12/15,1977.03,1964.37
2008/12/16,1948.86,1975.01
2008/12/17,1983.84,1976.82
2008/12/18,1978.97,2015.69
2008/12/19,2006.21,2018.46
2008/12/22,2016.45,1987.76
2008/12/23,1990.05,1897.22
2008/12/24,1873.58,1863.8
2008/12/25,1865.72,1852.42
2008/12/26,1852.91,1851.52
2008/12/29,1846.3,1850.48
2008/12/30,1851.91,1832.91
2008/12/31,1834.95,1820.81
2009/1/5,1849.02,1880.72
2009/1/6,1878.83,1937.14
2009/1/7,1938.97,1924.01
2009/1/8,1890.24,1878.18
2009/1/9,1875.16,1904.86
2009/1/12,1897.7,1900.35
2009/1/13,1880.87,1863.37
2009/1/14,1862.31,1928.87
2009/1/15,1912.77,1920.21
2009/1/16,1928.92,1954.44
2009/1/19,1971,1986.67
2009/1/20,1981.15,1994.11
2009/1/21,1965.94,1985.02
2009/1/22,1996.09,2004.95
2009/1/23,2001.17,1990.66
2009/2/2,2008.13,2011.68
2009/2/3,2011.77,2060.81
2009/2/4,2068.09,2107.75
2009/2/5,2106.84,2098.02
2009/2/6,2102.08,2181.24
2009/2/9,2211.32,2224.71
2009/2/10,2218.49,2265.16
2009/2/11,2230.49,2260.82
2009/2/12,2265.79,2248.09
2009/2/13,2249.18,2320.79
2009/2/16,2338.76,2389.39
2009/2/17,2387.35,2319.44
2009/2/18,2271.26,2209.86
2009/2/19,2224.49,2227.13
2009/2/20,2234.36,2261.48
2009/2/23,2249.29,2305.78
2009/2/24,2273.76,2200.65
2009/2/25,2222.51,2206.57
2009/2/26,2201.67,2121.25
2009/2/27,2100.06,2082.85
2009/3/2,2066.23,2093.45
2009/3/3,2047.21,2071.43
2009/3/4,2076.62,2198.11
2009/3/5,2220.15,2221.08
2009/3/6,2180.79,2193.01
2009/3/9,2205.75,2118.75
2009/3/10,2097.14,2158.57
2009/3/11,2199.98,2139.03
2009/3/12,2127.73,2133.88
2009/3/13,2148.42,2128.85
2009/3/16,2122.41,2153.29
2009/3/17,2156.77,2218.33
2009/3/18,2227.98,2223.72
2009/3/19,2227.34,2265.76
2009/3/20,2272.44,2281.09
2009/3/23,2286.25,2325.48
2009/3/24,2359.68,2338.42
2009/3/25,2333.16,2291.55
2009/3/26,2296.05,2361.7
2009/3/27,2380.63,2374.44
2009/3/30,2377.96,2358.04
2009/3/31,2313.88,2373.21
2009/4/1,2380.98,2408.02
2009/4/2,2417.22,2425.29
2009/4/3,2446.12,2419.78
2009/4/7,2422.1,2439.18
2009/4/8,2429.88,2347.39
2009/4/9,2345.01,2379.88
2009/4/10,2400.01,2444.23
2009/4/13,2468.08,2513.7
2009/4/14,2512.01,2527.18
2009/4/15,2514.59,2536.06
2009/4/16,2542.34,2534.13
2009/4/17,2524.63,2503.93
2009/4/20,2500.17,2557.46
2009/4/21,2523.26,2535.83
2009/4/22,2548.11,2461.35
2009/4/23,2440.68,2463.95
2009/4/24,2477.16,2448.59
2009/4/27,2443.44,2405.35
2009/4/28,2382.88,2401.44
2009/4/29,2401.66,2468.19
2009/4/30,2477.93,2477.57
2009/5/4,2486.68,2559.91
2009/5/5,2577.43,2567.34
2009/5/6,2563.56,2592.52
2009/5/7,2612.12,2597.45
2009/5/8,2586.76,2625.64
2009/5/11,2646.29,2579.75
2009/5/12,2562.36,2618.17
2009/5/13,2629.03,2663.77
2009/5/14,2631.45,2639.89
2009/5/15,2646.89,2645.26
2009/5/18,2632.57,2652.78
2009/5/19,2679.4,2676.68
2009/5/20,2680.55,2651.41
2009/5/21,2639.14,2610.62
2009/5/22,2595.99,2597.6
2009/5/25,2555.34,2610.01
2009/5/26,2615.01,2588.57
2009/5/27,2601.24,2632.93
2009/6/1,2668.4,2721.28
2009/6/2,2739.44,2724.3
2009/6/3,2722.27,2778.59
2009/6/4,2753.25,2767.24
2009/6/5,2783.86,2753.89
2009/6/8,2753.34,2768.34
2009/6/9,2766.51,2787.89
2009/6/10,2796.9,2816.25
2009/6/11,2812.28,2797.32
2009/6/12,2793.97,2743.76
2009/6/15,2743.03,2789.55
2009/6/16,2762.74,2776.02
2009/6/17,2771.52,2810.12
2009/6/18,2812.99,2853.9
2009/6/19,2861.18,2880.49
2009/6/22,2900.57,2896.3
2009/6/23,2853.49,2892.7
2009/6/24,2889.05,2922.3
2009/6/25,2926.62,2925.05
2009/6/26,2930.5,2928.21
2009/6/29,2930.31,2975.31
2009/6/30,2990.12,2959.36
2009/7/1,2950.17,3008.15
2009/7/2,3015.08,3060.25
2009/7/3,3035.81,3088.37
2009/7/6,3091.48,3124.67
